gene_id	gene_short_name	locus	ECT095_R1	ECT095_R2	ECT105_R1	ECT105_R2	ECT115_R1	ECT115_R2	ECT125_R1	ECT125_R2	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000035557	Krt17	chr11:100256216-100261029	96.015812739387	74.537165558498	488.82683832046	624.913594420428	3471.8754912878	2629.56821091546	6920.56251072565	4160.70828960921	2308.37598919711	-2.72078543910483	0.333065852193724	315.144082862153	5.24684369501416e-68	3.23730255982374e-65
ENSMUSG00000001655	Hoxc13	chr15:102921102-102928814	18.0029648886351	39.1635954629396	475.711971926496	472.241229167486	974.043708501573	853.674987903835	1615.37200971199	1378.75819999634	728.371083444911	-3.97609491065216	0.346022082052652	283.765565969443	3.24363995499897e-61	1.00066292611718e-58
ENSMUSG00000045545	Krt14	chr11:100203161-100207548	256.042167305032	313.308763703517	1902.84788770598	2063.44761981616	11042.113677286	6799.13405381594	21196.4126465553	12242.1511314865	6976.93224345931	-2.79697648325967	0.325409843947063	274.647320579261	3.04784291556811e-59	6.26839692968507e-57
ENSMUSG00000040055	Gjb6	chr14:57123302-57133611	26.0042826169173	16.4234432586521	54.843986738393	71.120667043296	171.195560888155	238.566107151437	1242.41111923437	857.797032023039	334.795274869282	-1.62236110613153	0.442970186208897	269.337668077226	4.29299784227867e-58	6.62194917171485e-56
ENSMUSG00000009376	Met	chr6:17463799-17573980	3140.51720835078	3560.09716176012	1168.41536964403	1057.32725004367	389.617483400629	495.82582717668	321.886628405844	398.792719872359	1316.55995608176	1.59065691678224	0.239049961238737	234.334687342294	1.59797185015835e-50	1.97189726309541e-48
ENSMUSG00000029026	Trp73	chr4:154056252-154140208	50.0082358017641	64.4304312454813	267.066370204349	307.241281627039	630.176762924502	523.421160466585	1615.37200971199	1208.59500442717	583.28890705111	-2.30964872213435	0.318202465619982	225.248844891999	1.47238552440614e-48	1.51410311426431e-46
ENSMUSG00000023902	Zscan10	chr17:23600855-23611019	572.094217572181	673.361173604736	96.5731070828225	92.9310049365735	65.6741591338182	79.2253117032756	61.1703371324759	56.7210651897228	212.218797044451	2.71898855071891	0.295291878939048	205.085536811338	3.35932059064971e-44	2.96100114918696e-42
ENSMUSG00000025064	Col17a1	chr19:47646343-47692094	762.125513618884	505.336715650834	1536.82388925627	1714.48221352372	10243.6930010749	4836.30470206625	16373.4582013821	14441.1831973034	6301.67592923455	-1.36218347010742	0.341017739111898	188.461218385224	1.3122114313875e-40	1.01204306645761e-38
ENSMUSG00000047746	Fbxo40	chr16:36963459-36990467	520.085652338346	545.763652902901	141.87900917106	122.327547314469	32.4681236167191	66.7629031207378	7.12664121931758	13.9621083543933	181.296954754743	2.01402048855289	0.377526909590076	183.952024321512	1.23583290231749e-39	8.472321119221e-38
ENSMUSG00000051397	Tacstd2	chr6:67534061-67535796	166.027342861857	131.387546069217	1585.70657308832	1359.82715386782	1864.70337226021	1540.88780402663	2302.49900060786	1716.46669581823	1333.43818607502	-3.31776942501778	0.275623675721528	171.751250510699	5.32827633250441e-37	3.28754649715522e-35
ENSMUSG00000048251	Bcl11b	chr12:107910402-108003602	218.035908095691	248.878332458036	1291.21820951478	1472.67194557652	1737.78252539485	2112.37825474015	1959.23244854406	1971.27517328591	1376.43409970125	-2.56090708331319	0.238633382908451	167.283692896277	4.90961869785793e-36	2.75384976052577e-34
